=============LOG START=============
clock_rate = 6
[Send]: 181, [System time]: 2023-03-06 20:17:22.068306, [Logical Clock Time]: 181
[Receive]: 179, [System time]: 2023-03-06 20:17:22.235199, [Message Queue Length]: 0, [Logical Clock Time]: 182
[Internal event], [System time]: 2023-03-06 20:17:22.402146, [Logical Clock Time]: 183
[Internal event], [System time]: 2023-03-06 20:17:22.569040, [Logical Clock Time]: 184
[Receive]: 182, [System time]: 2023-03-06 20:17:22.735900, [Message Queue Length]: 0, [Logical Clock Time]: 185
[Internal event], [System time]: 2023-03-06 20:17:22.902837, [Logical Clock Time]: 186
[Send]: 187, [System time]: 2023-03-06 20:17:23.069765, [Logical Clock Time]: 187
[Internal event], [System time]: 2023-03-06 20:17:23.236609, [Logical Clock Time]: 188
[Internal event], [System time]: 2023-03-06 20:17:23.403511, [Logical Clock Time]: 189
[Receive]: 190, [System time]: 2023-03-06 20:17:23.570438, [Message Queue Length]: 0, [Logical Clock Time]: 191
[Send]: 192, [System time]: 2023-03-06 20:17:23.737370, [Logical Clock Time]: 192
[Internal event], [System time]: 2023-03-06 20:17:23.904210, [Logical Clock Time]: 193
[Internal event], [System time]: 2023-03-06 20:17:24.071129, [Logical Clock Time]: 194
[Receive]: 194, [System time]: 2023-03-06 20:17:24.238016, [Message Queue Length]: 0, [Logical Clock Time]: 195
[Internal event], [System time]: 2023-03-06 20:17:24.404919, [Logical Clock Time]: 196
[Internal event], [System time]: 2023-03-06 20:17:24.571802, [Logical Clock Time]: 197
[Receive]: 197, [System time]: 2023-03-06 20:17:24.738655, [Message Queue Length]: 0, [Logical Clock Time]: 198
[Internal event], [System time]: 2023-03-06 20:17:24.905597, [Logical Clock Time]: 199
[Send]: 200, [System time]: 2023-03-06 20:17:25.072528, [Logical Clock Time]: 200
[Send]: 201, [System time]: 2023-03-06 20:17:25.239484, [Logical Clock Time]: 201
[Internal event], [System time]: 2023-03-06 20:17:25.406294, [Logical Clock Time]: 202
[Receive]: 203, [System time]: 2023-03-06 20:17:25.573187, [Message Queue Length]: 0, [Logical Clock Time]: 204
[Send]: 205, [System time]: 2023-03-06 20:17:25.740226, [Logical Clock Time]: 205
[Internal event], [System time]: 2023-03-06 20:17:25.906991, [Logical Clock Time]: 206
[Internal event], [System time]: 2023-03-06 20:17:26.073933, [Logical Clock Time]: 207
[Internal event], [System time]: 2023-03-06 20:17:26.240867, [Logical Clock Time]: 208
[Receive]: 208, [System time]: 2023-03-06 20:17:26.407832, [Message Queue Length]: 0, [Logical Clock Time]: 209
[Internal event], [System time]: 2023-03-06 20:17:26.574696, [Logical Clock Time]: 210
[Internal event], [System time]: 2023-03-06 20:17:26.741572, [Logical Clock Time]: 211
[Internal event], [System time]: 2023-03-06 20:17:26.908494, [Logical Clock Time]: 212
[Send]: 213, [System time]: 2023-03-06 20:17:27.075447, [Logical Clock Time]: 213
[Receive]: 212, [System time]: 2023-03-06 20:17:27.242293, [Message Queue Length]: 0, [Logical Clock Time]: 214
[Send]: 215, [System time]: 2023-03-06 20:17:27.409292, [Logical Clock Time]: 215
[Internal event], [System time]: 2023-03-06 20:17:27.576140, [Logical Clock Time]: 216
[Send]: 217, [System time]: 2023-03-06 20:17:27.743088, [Logical Clock Time]: 217
[Send]: 218, [System time]: 2023-03-06 20:17:27.909989, [Logical Clock Time]: 218
[Internal event], [System time]: 2023-03-06 20:17:28.076794, [Logical Clock Time]: 219
[Internal event], [System time]: 2023-03-06 20:17:28.243741, [Logical Clock Time]: 220
[Internal event], [System time]: 2023-03-06 20:17:28.410650, [Logical Clock Time]: 221
[Internal event], [System time]: 2023-03-06 20:17:28.577560, [Logical Clock Time]: 222
[Internal event], [System time]: 2023-03-06 20:17:28.744438, [Logical Clock Time]: 223
[Internal event], [System time]: 2023-03-06 20:17:28.911367, [Logical Clock Time]: 224
[Send]: 225, [System time]: 2023-03-06 20:17:29.078304, [Logical Clock Time]: 225
[Internal event], [System time]: 2023-03-06 20:17:29.245178, [Logical Clock Time]: 226
[Internal event], [System time]: 2023-03-06 20:17:29.412074, [Logical Clock Time]: 227
[Internal event], [System time]: 2023-03-06 20:17:29.578987, [Logical Clock Time]: 228
[Send]: 229, [System time]: 2023-03-06 20:17:29.745936, [Logical Clock Time]: 229
[Internal event], [System time]: 2023-03-06 20:17:29.912748, [Logical Clock Time]: 230
[Internal event], [System time]: 2023-03-06 20:17:30.079634, [Logical Clock Time]: 231
[Internal event], [System time]: 2023-03-06 20:17:30.246554, [Logical Clock Time]: 232
[Internal event], [System time]: 2023-03-06 20:17:30.413453, [Logical Clock Time]: 233
[Internal event], [System time]: 2023-03-06 20:17:30.580361, [Logical Clock Time]: 234
[Send]: 235, [System time]: 2023-03-06 20:17:30.747312, [Logical Clock Time]: 235
[Internal event], [System time]: 2023-03-06 20:17:30.914128, [Logical Clock Time]: 236
[Send]: 237, [System time]: 2023-03-06 20:17:31.081093, [Logical Clock Time]: 237
[Internal event], [System time]: 2023-03-06 20:17:31.247904, [Logical Clock Time]: 238
[Internal event], [System time]: 2023-03-06 20:17:31.414796, [Logical Clock Time]: 239
[Receive]: 240, [System time]: 2023-03-06 20:17:31.581709, [Message Queue Length]: 0, [Logical Clock Time]: 241
[Send]: 242, [System time]: 2023-03-06 20:17:31.748696, [Logical Clock Time]: 242
[Internal event], [System time]: 2023-03-06 20:17:31.915513, [Logical Clock Time]: 243
[Internal event], [System time]: 2023-03-06 20:17:32.082401, [Logical Clock Time]: 244
[Internal event], [System time]: 2023-03-06 20:17:32.249362, [Logical Clock Time]: 245
[Internal event], [System time]: 2023-03-06 20:17:32.416241, [Logical Clock Time]: 246
[Internal event], [System time]: 2023-03-06 20:17:32.583177, [Logical Clock Time]: 247
[Internal event], [System time]: 2023-03-06 20:17:32.750043, [Logical Clock Time]: 248
[Internal event], [System time]: 2023-03-06 20:17:32.916965, [Logical Clock Time]: 249
[Send]: 250, [System time]: 2023-03-06 20:17:33.083888, [Logical Clock Time]: 250
[Internal event], [System time]: 2023-03-06 20:17:33.250778, [Logical Clock Time]: 251
[Internal event], [System time]: 2023-03-06 20:17:33.417712, [Logical Clock Time]: 252
[Send]: 253, [System time]: 2023-03-06 20:17:33.584650, [Logical Clock Time]: 253
[Internal event], [System time]: 2023-03-06 20:17:33.751455, [Logical Clock Time]: 254
[Internal event], [System time]: 2023-03-06 20:17:33.918359, [Logical Clock Time]: 255
[Receive]: 255, [System time]: 2023-03-06 20:17:34.085236, [Message Queue Length]: 0, [Logical Clock Time]: 256
[Internal event], [System time]: 2023-03-06 20:17:34.252163, [Logical Clock Time]: 257
[Internal event], [System time]: 2023-03-06 20:17:34.419059, [Logical Clock Time]: 258
[Receive]: 258, [System time]: 2023-03-06 20:17:34.585950, [Message Queue Length]: 0, [Logical Clock Time]: 259
[Send]: 260, [System time]: 2023-03-06 20:17:34.752906, [Logical Clock Time]: 260
[Internal event], [System time]: 2023-03-06 20:17:34.919722, [Logical Clock Time]: 261
[Send]: 262, [System time]: 2023-03-06 20:17:35.086696, [Logical Clock Time]: 262
[Internal event], [System time]: 2023-03-06 20:17:35.253514, [Logical Clock Time]: 263
[Receive]: 264, [System time]: 2023-03-06 20:17:35.420323, [Message Queue Length]: 0, [Logical Clock Time]: 265
[Internal event], [System time]: 2023-03-06 20:17:35.587228, [Logical Clock Time]: 266
[Receive]: 266, [System time]: 2023-03-06 20:17:35.754125, [Message Queue Length]: 0, [Logical Clock Time]: 267
